Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,prise per item,profit per item
B-26086,762,101,6,Electronics,Printers,COD,127,16.83333333
B-25752,761,266,9,Electronics,Electronic Games,COD,84.55555556,29.55555556
B-26098,96,-48,5,Clothing,Leggings,UPI,19.2,-9.6
B-26067,1137,-14,7,Electronics,Printers,EMI,162.4285714,-2
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,9,4
B-25986,749,-307,7,Furniture,Furnishings,COD,107,-43.85714286
B-26067,1120,199,6,Clothing,Saree,EMI,186.6666667,33.16666667
B-25953,744,119,6,Electronics,Printers,COD,124,19.83333333
B-25952,14,0,4,Clothing,Hankerchief,UPI,3.5,0
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,9.5,4
B-25650,512,-225,5,Clothing,Saree,COD,102.4,-45
B-25970,742,198,2,Furniture,Bookcases,COD,371,99
B-26062,44,-40,3,Clothing,Stole,COD,14.66666667,-13.33333333
B-25643,1061,-36,8,Furniture,Bookcases,EMI,132.625,-4.5
B-25632,19,-2,2,Clothing,Leggings,Debit Card,9.5,-1
B-25821,17,0,1,Clothing,Hankerchief,COD,17,0
B-25878,741,267,5,Furniture,Bookcases,COD,148.2,53.4
B-25752,735,-235,6,Electronics,Printers,COD,122.5,-39.16666667
B-25750,19,-1,1,Clothing,Shirt,Debit Card,19,-1
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,255.25,-12
B-25787,556,-209,7,Clothing,Saree,COD,79.42857143,-29.85714286
B-25808,63,-17,6,Clothing,Leggings,COD,10.5,-2.833333333
B-25885,734,248,2,Furniture,Chairs,COD,367,124
B-25778,933,166,5,Clothing,Saree,Credit Card,186.6,33.2
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,3.333333333,-1.5
B-25747,877,395,2,Furniture,Bookcases,Credit Card,438.5,197.5
B-25878,719,303,6,Furniture,Chairs,COD,119.8333333,50.5
B-25603,12,1,2,Clothing,Hankerchief,COD,6,0.5
B-25691,714,56,4,Clothing,Saree,COD,178.5,14
B-25607,50,-15,4,Clothing,Leggings,COD,12.5,-3.75
B-25708,709,-100,5,Electronics,Phones,COD,141.8,-20
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,7,-4
B-25831,693,254,6,Clothing,Saree,COD,115.5,42.33333333
B-25850,24,1,4,Clothing,Hankerchief,COD,6,0.25
B-25670,24,1,2,Clothing,Hankerchief,UPI,12,0.5
B-25852,24,1,2,Clothing,Hankerchief,COD,12,0.5
B-26029,21,10,1,Clothing,T-shirt,Debit Card,21,10
B-25959,681,259,4,Furniture,Chairs,COD,170.25,64.75
B-25676,674,-187,2,Furniture,Tables,COD,337,-93.5
B-26097,671,-309,5,Electronics,Electronic Games,COD,134.2,-61.8
B-25888,646,-213,3,Electronics,Electronic Games,COD,215.3333333,-71
B-25911,40,15,1,Clothing,Kurti,COD,40,15
B-25662,24,-2,2,Clothing,T-shirt,COD,12,-1
B-25950,644,167,2,Electronics,Printers,COD,322,83.5
B-25847,643,225,2,Electronics,Printers,COD,321.5,112.5
B-25796,632,-316,6,Clothing,Saree,COD,105.3333333,-52.66666667
B-25693,632,316,6,Clothing,Saree,COD,105.3333333,52.66666667
B-25993,610,208,3,Electronics,Printers,COD,203.3333333,69.33333333
B-26052,78,-28,6,Clothing,Kurti,UPI,13,-4.666666667
B-25930,595,119,4,Furniture,Bookcases,COD,148.75,29.75
B-25785,595,292,3,Clothing,Saree,COD,198.3333333,97.33333333
B-26093,852,51,5,Furniture,Bookcases,Credit Card,170.4,10.2
B-26053,594,89,3,Furniture,Bookcases,COD,198,29.66666667
B-26019,585,175,13,Clothing,T-shirt,COD,45,13.46153846
B-26070,582,262,5,Furniture,Furnishings,COD,116.4,52.4
B-25870,845,84,7,Clothing,Saree,Credit Card,120.7142857,12
B-25855,829,19,4,Electronics,Printers,Credit Card,207.25,4.75
B-25602,561,212,3,Clothing,Saree,COD,187,70.66666667
B-25728,771,-424,2,Electronics,Phones,Credit Card,385.5,-212
B-25803,765,8,6,Clothing,Saree,EMI,127.5,1.333333333
B-25996,31,2,2,Clothing,Hankerchief,COD,15.5,1
B-26078,557,-111,2,Electronics,Electronic Games,COD,278.5,-55.5
B-25803,757,371,2,Electronics,Printers,Credit Card,378.5,185.5
B-25682,545,-73,11,Electronics,Phones,COD,49.54545455,-6.636363636
B-25749,1052,-82,3,Furniture,Bookcases,UPI,350.6666667,-27.33333333
B-25962,544,-152,3,Furniture,Bookcases,COD,181.3333333,-50.66666667
B-25899,22,9,2,Clothing,Leggings,Debit Card,11,4.5
B-25845,757,371,2,Electronics,Printers,Credit Card,378.5,185.5
B-25951,742,198,2,Furniture,Bookcases,Credit Card,371,99
B-25828,537,107,3,Clothing,Saree,COD,179,35.66666667
B-25803,536,91,1,Clothing,Trousers,COD,536,91
B-25656,6,3,1,Clothing,Hankerchief,COD,6,3
B-25681,523,204,7,Clothing,Trousers,COD,74.71428571,29.14285714
B-25658,27,9,2,Clothing,T-shirt,UPI,13.5,4.5
B-25698,516,392,8,Furniture,Chairs,COD,64.5,49
B-25832,504,116,3,Furniture,Bookcases,COD,168,38.66666667
B-25886,502,84,4,Electronics,Phones,COD,125.5,21
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,122.3333333,35.5
B-25873,42,12,2,Clothing,Kurti,COD,21,6
B-25858,29,11,4,Clothing,Skirt,COD,7.25,2.75
B-25867,240,12,6,Clothing,Kurti,UPI,40,2
B-25633,496,-79,2,Clothing,Trousers,COD,248,-39.5
B-25609,485,29,4,Electronics,Electronic Games,COD,121.25,7.25
B-25896,31,-11,3,Clothing,Skirt,UPI,10.33333333,-3.666666667
B-26000,676,151,3,Electronics,Printers,Credit Card,225.3333333,50.33333333
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,11.5,4
B-25940,13,3,2,Clothing,Hankerchief,COD,6.5,1.5
B-26087,180,0,8,Clothing,Stole,COD,22.5,0
B-26055,671,114,9,Electronics,Phones,Credit Card,74.55555556,12.66666667
B-25980,22,11,3,Clothing,Kurti,COD,7.333333333,3.666666667
B-25653,668,-31,3,Electronics,Printers,Credit Card,222.6666667,-10.33333333
B-26052,145,0,3,Clothing,Saree,UPI,48.33333333,0
B-25877,24,8,2,Clothing,Skirt,Debit Card,12,4
B-25608,476,0,3,Furniture,Chairs,COD,158.6666667,0
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,4.8,2.2
B-25881,37,3,3,Clothing,Hankerchief,COD,12.33333333,1
B-25905,152,50,6,Clothing,Stole,UPI,25.33333333,8.333333333
B-25818,32,11,2,Clothing,Leggings,UPI,16,5.5
B-25835,52,11,5,Clothing,Leggings,COD,10.4,2.2
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,8,3.666666667
B-25730,473,42,4,Furniture,Chairs,COD,118.25,10.5
B-25837,263,50,5,Clothing,Stole,COD,52.6,10
B-25893,61,11,3,Clothing,Kurti,COD,20.33333333,3.666666667
B-25689,469,-459,3,Electronics,Electronic Games,COD,156.3333333,-153
B-26028,1272,547,2,Electronics,Phones,COD,636,273.5
B-26081,169,0,3,Electronics,Accessories,COD,56.33333333,0
B-25903,25,11,3,Clothing,Leggings,Debit Card,8.333333333,3.666666667
B-25651,457,-41,4,Clothing,Saree,COD,114.25,-10.25
B-25903,455,77,8,Electronics,Accessories,COD,56.875,9.625
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,12.5,1
B-25654,450,-90,3,Electronics,Printers,COD,150,-30
B-25720,30,-35,1,Furniture,Chairs,COD,30,-35
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,329.5,-18.5
B-25798,448,148,2,Electronics,Printers,COD,224,74
B-25961,446,53,3,Electronics,Printers,COD,148.6666667,17.66666667
B-25701,98,-45,2,Furniture,Chairs,UPI,49,-22.5
B-26055,443,11,1,Clothing,Saree,COD,443,11
B-25653,427,-50,7,Electronics,Phones,COD,61,-7.142857143
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,328,-18
B-26056,424,161,2,Clothing,Saree,COD,212,80.5
B-26061,27,8,2,Clothing,T-shirt,Debit Card,13.5,4
B-25602,424,-272,5,Electronics,Phones,COD,84.8,-54.4
B-26016,202,4,4,Clothing,Hankerchief,COD,50.5,1
B-25873,1275,357,2,Electronics,Phones,UPI,637.5,178.5
B-25761,418,70,7,Electronics,Phones,COD,59.71428571,10
B-25819,417,49,3,Electronics,Electronic Games,COD,139,16.33333333
B-25853,199,48,4,Clothing,Stole,UPI,49.75,12
B-25662,385,-77,11,Furniture,Furnishings,UPI,35,-7
B-25993,414,199,3,Electronics,Phones,COD,138,66.33333333
B-25703,97,-45,4,Clothing,Saree,COD,24.25,-11.25
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,108,8.333333333
B-25678,27,-25,2,Clothing,Shirt,Debit Card,13.5,-12.5
B-25925,27,12,1,Clothing,Stole,Debit Card,27,12
B-25977,27,1,1,Clothing,Stole,UPI,27,1
B-25797,413,-314,9,Furniture,Chairs,COD,45.88888889,-34.88888889
B-26067,53,2,4,Clothing,Hankerchief,COD,13.25,0.5
B-25810,29,8,5,Clothing,Hankerchief,UPI,5.8,1.6
B-25648,30,13,1,Clothing,T-shirt,UPI,30,13
B-25933,412,412,6,Clothing,Saree,COD,68.66666667,68.66666667
B-25942,646,-23,2,Electronics,Printers,Credit Card,323,-11.5
B-25656,30,-5,5,Clothing,Stole,UPI,6,-1
B-26067,618,27,4,Furniture,Bookcases,Credit Card,154.5,6.75
B-25673,143,-124,5,Clothing,Saree,UPI,28.6,-24.8
B-25797,31,1,2,Clothing,Hankerchief,UPI,15.5,0.5
B-26098,409,86,3,Clothing,Saree,COD,136.3333333,28.66666667
B-25656,406,126,2,Clothing,Saree,COD,203,63
B-25791,565,66,7,Clothing,Saree,Credit Card,80.71428571,9.428571429
B-26053,85,2,6,Clothing,Stole,COD,14.16666667,0.333333333
B-25983,561,118,5,Furniture,Bookcases,Credit Card,112.2,23.6
B-25743,503,-56,2,Clothing,Trousers,COD,251.5,-28
B-25867,31,14,3,Clothing,Stole,UPI,10.33333333,4.666666667
B-25973,398,111,8,Clothing,Hankerchief,COD,49.75,13.875
B-25895,388,93,2,Furniture,Bookcases,COD,194,46.5
B-26003,498,-116,4,Clothing,Saree,UPI,124.5,-29
B-25717,561,212,3,Clothing,Saree,Credit Card,187,70.66666667
B-26064,61,3,4,Clothing,Hankerchief,COD,15.25,0.75
B-25630,34,-22,4,Clothing,T-shirt,COD,8.5,-5.5
B-26050,32,6,3,Clothing,Shirt,UPI,10.66666667,2
B-25786,623,-192,3,Furniture,Tables,UPI,207.6666667,-64
B-26035,520,151,3,Electronics,Phones,Credit Card,173.3333333,50.33333333
B-25693,32,-16,6,Clothing,Saree,UPI,5.333333333,-2.666666667
B-25703,32,-5,5,Clothing,Hankerchief,UPI,6.4,-1
B-25966,510,234,6,Electronics,Electronic Games,EMI,85,39
B-26060,382,68,3,Clothing,Saree,COD,127.3333333,22.66666667
B-25898,33,13,3,Clothing,Leggings,UPI,11,4.333333333
B-25686,381,-13,2,Clothing,Saree,COD,190.5,-6.5
B-26051,490,88,2,Electronics,Accessories,EMI,245,44
B-25854,381,144,2,Clothing,Saree,COD,190.5,72
B-26050,487,143,4,Electronics,Phones,EMI,121.75,35.75
B-25961,366,84,3,Furniture,Bookcases,COD,122,28
B-25701,33,-29,3,Clothing,Shirt,UPI,11,-9.666666667
B-25970,365,107,3,Electronics,Phones,COD,121.6666667,35.66666667
B-25933,207,-100,2,Clothing,Saree,UPI,103.5,-50
B-26081,359,-338,5,Furniture,Bookcases,COD,71.8,-67.6
B-25650,351,-47,8,Electronics,Phones,COD,43.875,-5.875
B-25850,485,199,4,Clothing,Saree,EMI,121.25,49.75
B-25643,37,-23,4,Clothing,Shirt,UPI,9.25,-5.75
B-26100,34,10,2,Clothing,T-shirt,Debit Card,17,5
B-25964,346,108,3,Furniture,Chairs,COD,115.3333333,36
B-25676,342,-103,4,Electronics,Electronic Games,COD,85.5,-25.75
B-25628,35,-8,2,Furniture,Furnishings,Debit Card,17.5,-4
B-25891,121,41,4,Clothing,Stole,UPI,30.25,10.25
B-25903,336,57,2,Electronics,Phones,COD,168,28.5
B-25851,336,71,3,Furniture,Bookcases,COD,112,23.66666667
B-26089,27,4,1,Clothing,Hankerchief,COD,27,4
B-25996,333,50,2,Electronics,Phones,COD,166.5,25
B-25881,36,7,3,Clothing,Leggings,Debit Card,12,2.333333333
B-25621,333,-15,3,Electronics,Phones,COD,111,-5
B-25727,327,114,4,Clothing,Trousers,COD,81.75,28.5
B-25843,18,6,3,Clothing,Hankerchief,UPI,6,2
B-26050,325,32,7,Clothing,T-shirt,COD,46.42857143,4.571428571
B-25741,482,-6,7,Electronics,Electronic Games,EMI,68.85714286,-0.857142857
B-25756,465,-33,4,Electronics,Phones,EMI,116.25,-8.25
B-25787,40,-12,3,Clothing,Shirt,COD,13.33333333,-4
B-25603,107,36,6,Clothing,Stole,COD,17.83333333,6
B-25655,312,-312,7,Furniture,Chairs,COD,44.57142857,-44.57142857
B-26096,451,25,3,Electronics,Phones,EMI,150.3333333,8.333333333
B-25962,312,62,1,Electronics,Electronic Games,COD,312,62
B-26007,311,72,2,Furniture,Bookcases,COD,155.5,36
B-26088,11,5,2,Clothing,Hankerchief,UPI,5.5,2.5
B-25673,37,-5,3,Clothing,T-shirt,Debit Card,12.33333333,-1.666666667
B-25664,444,-200,4,Electronics,Phones,EMI,111,-50
B-25642,434,26,11,Clothing,Shirt,Credit Card,39.45454545,2.363636364
B-25987,299,0,6,Clothing,Stole,COD,49.83333333,0
B-25903,37,17,3,Clothing,Hankerchief,Debit Card,12.33333333,5.666666667
B-25770,299,113,2,Furniture,Bookcases,COD,149.5,56.5
B-25840,298,74,2,Furniture,Bookcases,COD,149,37
B-25846,94,7,7,Clothing,Leggings,UPI,13.42857143,1
B-25745,296,225,11,Clothing,Saree,COD,26.90909091,20.45454545
B-26073,37,17,3,Clothing,Hankerchief,Debit Card,12.33333333,5.666666667
B-26030,291,93,2,Electronics,Printers,COD,145.5,46.5
B-25678,327,-39,1,Electronics,Phones,COD,327,-39
B-26035,291,119,11,Clothing,Saree,COD,26.45454545,10.81818182
B-25896,287,-66,6,Clothing,Kurti,COD,47.83333333,-11
B-25989,42,15,1,Electronics,Accessories,UPI,42,15
B-26016,429,61,3,Electronics,Electronic Games,Credit Card,143,20.33333333
B-26009,285,128,2,Electronics,Printers,COD,142.5,64
B-25915,277,3,1,Electronics,Electronic Games,COD,277,3
B-25845,274,-7,4,Electronics,Phones,COD,68.5,-1.75
B-25645,273,-87,4,Electronics,Phones,COD,68.25,-21.75
B-25803,269,91,1,Electronics,Electronic Games,COD,269,91
B-26030,11,5,1,Clothing,Skirt,COD,11,5
B-25955,39,2,2,Clothing,Saree,Debit Card,19.5,1
B-26096,264,-26,3,Clothing,Trousers,COD,88,-8.666666667
B-25635,40,16,3,Clothing,Hankerchief,Debit Card,13.33333333,5.333333333
B-26038,41,19,2,Clothing,T-shirt,Debit Card,20.5,9.5
B-25791,253,-63,2,Clothing,Saree,UPI,126.5,-31.5
B-26014,406,97,7,Furniture,Chairs,Credit Card,58,13.85714286
B-25751,32,7,3,Clothing,Hankerchief,COD,10.66666667,2.333333333
B-25962,260,68,2,Electronics,Printers,COD,130,34
B-26025,41,19,5,Clothing,Hankerchief,Debit Card,8.2,3.8
B-26048,401,13,6,Furniture,Chairs,Credit Card,66.83333333,2.166666667
B-25635,382,30,3,Clothing,Saree,Credit Card,127.3333333,10
B-25981,867,251,5,Electronics,Phones,COD,173.4,50.2
B-25610,43,0,3,Clothing,Saree,Debit Card,14.33333333,0
B-25733,43,-43,7,Clothing,Stole,Debit Card,6.142857143,-6.142857143
B-25977,74,29,3,Clothing,Stole,COD,24.66666667,9.666666667
B-25655,44,-26,3,Clothing,Hankerchief,Debit Card,14.66666667,-8.666666667
B-25612,259,-55,2,Furniture,Chairs,COD,129.5,-27.5
B-25608,257,23,5,Clothing,Hankerchief,COD,51.4,4.6
B-25752,76,27,5,Clothing,Stole,COD,15.2,5.4
B-25700,44,-32,3,Clothing,Stole,Debit Card,14.66666667,-10.66666667
B-25856,257,3,2,Clothing,Saree,COD,128.5,1.5
B-26026,255,76,9,Clothing,Hankerchief,COD,28.33333333,8.444444444
B-25861,44,14,3,Clothing,Hankerchief,Debit Card,14.66666667,4.666666667
B-25673,45,-2,4,Clothing,Shirt,COD,11.25,-0.5
B-25681,44,-3,1,Clothing,Saree,Debit Card,44,-3
B-26051,382,119,2,Clothing,Saree,Credit Card,191,59.5
B-25951,250,100,3,Clothing,Trousers,COD,83.33333333,33.33333333
B-25799,45,-15,2,Furniture,Chairs,COD,22.5,-7.5
B-26053,246,61,2,Furniture,Bookcases,COD,123,30.5
B-26030,50,25,5,Clothing,Stole,COD,10,5
B-26054,246,98,5,Clothing,Hankerchief,COD,49.2,19.6
B-25696,44,99,3,Clothing,Kurti,Debit Card,14.66666667,33
B-25660,245,-78,3,Clothing,Saree,COD,81.66666667,-26
B-25858,245,30,2,Clothing,Saree,COD,122.5,15
B-26045,376,0,7,Clothing,Stole,Credit Card,53.71428571,0
B-25850,45,1,3,Clothing,T-shirt,Debit Card,15,0.333333333
B-25781,45,-28,2,Clothing,Stole,Debit Card,22.5,-14
B-25918,244,-122,5,Furniture,Furnishings,COD,48.8,-24.4
B-25971,244,83,2,Furniture,Bookcases,COD,122,41.5
B-25870,10,4,1,Clothing,Kurti,UPI,10,4
B-25770,375,180,3,Furniture,Bookcases,Credit Card,125,60
B-25757,46,14,5,Clothing,Skirt,Debit Card,9.2,2.8
B-25699,49,-31,2,Clothing,Stole,UPI,24.5,-15.5
B-25776,47,-20,2,Clothing,Kurti,Debit Card,23.5,-10
B-25893,355,-114,7,Clothing,Stole,Credit Card,50.71428571,-16.28571429
B-25985,32,8,5,Clothing,Hankerchief,UPI,6.4,1.6
B-25681,243,-14,2,Furniture,Chairs,COD,121.5,-7
B-26063,241,-77,4,Electronics,Electronic Games,COD,60.25,-19.25
B-26032,47,15,5,Clothing,Saree,Debit Card,9.4,3
B-26001,50,-10,6,Clothing,Skirt,Debit Card,8.333333333,-1.666666667
B-26056,15,6,2,Clothing,Hankerchief,COD,7.5,3
B-25850,148,24,3,Clothing,Stole,COD,49.33333333,8
B-25767,299,-28,3,Electronics,Electronic Games,UPI,99.66666667,-9.333333333
B-25693,68,-30,1,Electronics,Phones,UPI,68,-30
B-25850,52,18,5,Clothing,Leggings,Debit Card,10.4,3.6
B-25796,239,-162,5,Furniture,Chairs,COD,47.8,-32.4
B-26053,27,6,3,Clothing,Skirt,COD,9,2
B-25650,238,20,2,Clothing,Saree,COD,119,10
B-25961,48,16,3,Clothing,Shirt,COD,16,5.333333333
B-26023,66,22,3,Clothing,Stole,UPI,22,7.333333333
B-25809,53,24,1,Clothing,Hankerchief,Debit Card,53,24
B-25621,233,-10,5,Electronics,Electronic Games,COD,46.6,-2
B-25854,53,-2,3,Clothing,Saree,Debit Card,17.66666667,-0.666666667
B-26057,54,8,4,Clothing,T-shirt,Debit Card,13.5,2
B-25688,352,-345,5,Clothing,Saree,Credit Card,70.4,-69
B-25885,349,0,7,Clothing,Stole,Credit Card,49.85714286,0
B-25753,341,-85,6,Clothing,Trousers,Credit Card,56.83333333,-14.16666667
B-25981,54,12,3,Clothing,Saree,Debit Card,18,4
B-26055,57,7,2,Clothing,Shirt,UPI,28.5,3.5
B-25714,340,20,7,Clothing,Shirt,Credit Card,48.57142857,2.857142857
B-26055,227,48,5,Clothing,Stole,COD,45.4,9.6
B-25989,330,81,1,Furniture,Bookcases,Credit Card,330,81
B-25710,216,-38,6,Furniture,Furnishings,UPI,36,-6.333333333
B-25773,224,-143,3,Furniture,Chairs,COD,74.66666667,-47.66666667
B-25661,55,-33,2,Furniture,Chairs,Debit Card,27.5,-16.5
B-26021,49,21,1,Clothing,Stole,UPI,49,21
B-26057,224,87,3,Clothing,Trousers,COD,74.66666667,29
B-25858,223,27,2,Furniture,Bookcases,COD,111.5,13.5
B-25857,324,39,8,Electronics,Accessories,Credit Card,40.5,4.875
B-25656,56,18,2,Clothing,Hankerchief,Debit Card,28,9
B-25999,223,62,7,Clothing,Shirt,COD,31.85714286,8.857142857
B-25856,10,2,2,Clothing,Skirt,COD,5,1
B-25926,57,6,5,Clothing,Leggings,Debit Card,11.4,1.2
B-25728,322,-113,4,Clothing,Saree,Credit Card,80.5,-28.25
B-26076,219,4,2,Clothing,Saree,COD,109.5,2
B-25913,103,21,7,Clothing,Stole,UPI,14.71428571,3
